tests.system.providers.teradata.example_teradata S 27.055
tests.system.providers.teradata.example_teradata_to_teradata_transfer S 34.711
tests.system.providers.teradata.example_teradata S 26.263
tests.system.providers.teradata.example_teradata_to_teradata_transfer S 32.701
tests.system.providers.teradata.example_teradata S 27.008
tests.system.providers.teradata.example_teradata_to_teradata_transfer S 34.659
tests.system.providers.teradata.example_teradata S 26.114
tests.system.providers.teradata.example_teradata_to_teradata_transfer S 32.693
tests.system.providers.teradata.example_teradata S 28.817
tests.system.providers.teradata.example_teradata_to_teradata_transfer S 35.819
tests.system.providers.teradata.example_teradata S 28.853
tests.system.providers.teradata.example_teradata_to_teradata_transfer S 37.497
tests.system.providers.teradata.example_teradata S 25.721
tests.system.providers.teradata.example_teradata_to_teradata_transfer S 33.607
tests.system.providers.teradata.example_teradata S 35.350
tests.system.providers.teradata.example_teradata_to_teradata_transfer S 39.222
tests.system.providers.teradata.example_teradata S 27.311
tests.system.providers.teradata.example_teradata_to_teradata_transfer S 34.864
tests.system.providers.teradata.example_teradata S 27.292
tests.system.providers.teradata.example_teradata_to_teradata_transfer S 35.568
